"country_code","date","week","time","time2","gender","female","diff","covid_deaths","covid_stringency","covid_school_closing","covid_workplace_closing","covid_stay_home_restrictions","school_cls","workpl_cls","stay_home","gdp_scaled","gii","gii_scaled","age_at_birth","diff_firstbirth","dev_age_mean_female","dev_age_mean_male","dev_mostly_remote_share_female","dev_mostly_remote_share_male","dev_dependents_share","dev_dependents_share_female","dev_dependents_share_male","dev_hobby_share_female","dev_hobby_share_male","dev_prof_share_female","dev_prof_share_male"
"AR",2020-03-09,1,0.0476190476190476,0.00226757369614512,"female",1,0.16798053524862,6.48929266709929e-05,0.1111,0,0,0,0,0,0,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-03-16,2,0.0952380952380952,0.0090702947845805,"female",1,-0.0694865806407499,6.48929266709929e-05,0.210314285714286,0,0,0,0,0,0,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-03-23,3,0.142857142857143,0.0204081632653061,"female",1,0.22169647704694,0.000129785853341986,0.666685714285714,3,3,3,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-03-30,4,0.19047619047619,0.036281179138322,"female",1,-0.32019042684336,0.00123296560674886,1,3,3,3,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-06,5,0.238095238095238,0.0566893424036281,"female",1,-0.37413956587449,0.00162232316677482,1,3,3,3,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-13,6,0.285714285714286,0.0816326530612245,"female",1,0.45645351639521,0.00317975340687865,1,3,3,3,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-20,7,0.333333333333333,0.111111111111111,"female",1,0.7729217879242,0.00253082414016872,1,3,3,3,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-04-27,8,0.380952380952381,0.145124716553288,"female",1,-0.28967303418407,0.00395846852693056,0.997357142857143,3,3,3,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-05-04,9,0.428571428571429,0.183673469387755,"female",1,-0.44723186110664,0.00408825438027255,0.8889,3,3,2,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-05-11,10,0.476190476190476,0.226757369614512,"female",1,0.0332227132741199,0.00350421804023361,0.8889,3,3,2,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-05-18,11,0.523809523809524,0.27437641723356,"female",1,0.18997833990133,0.00441271901362751,0.912685714285714,3,2,2,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-05-25,12,0.571428571428571,0.326530612244898,"female",1,0.19720309826648,0.00551589876703439,0.9074,3,2,2,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-06-01,13,0.619047619047619,0.383219954648526,"female",1,0.31197124475093,0.00577547047371836,0.9074,3,2,2,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
"AR",2020-06-08,14,0.666666666666667,0.444444444444444,"female",1,1.42695970177355,0.00889033095392602,0.899471428571429,3,2,2,1,1,1,-0.687500848349149,0.354,0.859612123536373,NA,NA,30.8518518518519,31.3319946452477,0.104761904761905,0.141984732824427,0.186547655635363,0.123809523809524,0.19236641221374,0.60952380952381,0.767175572519084,0.476190476190476,0.562595419847328
